,p_gender,p_race,p_att,path,p_profile,author_name,author_tag,text,p_issue,p_lean,p_retweet,retweet,quote,like,p_output,time
0,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_5.png,expert_username,Professor Li,@ProfessorLi,"Abortion is not a solution to unplanned pregnancies, adoption is a loving option that allows the child to live.",Abortion,Conservative,high,711,173,2733,female_asian_expert_username_prof_Abortion_Conservative_reactionhigh.png,2022-07-05 14:34
1,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_1.png,expert_username,Professor Kim,@ProfessorKim,Abortion is a violation of the right to life of the most vulnerable and innocent among us.,Abortion,Conservative,low,0,2,41,female_asian_expert_username_prof_Abortion_Conservative_reactionlow.png,2022-07-05 14:34
2,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_2.png,expert_username,Professor Meng,@ProfessorMeng,"Abortion is not a solution to unplanned pregnancies, adoption is a loving option that allows the child to live.",Abortion,Conservative,medium,77,45,240,female_asian_expert_username_prof_Abortion_Conservative_reactionmedium.png,2022-07-05 14:34
3,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_2.png,expert_username,Professor Meng,@ProfessorMeng,"Supporting abortion access means supporting women's equality and autonomy, and their right to make decisions about their own lives.",Abortion,Liberal,high,801,238,2733,female_asian_expert_username_prof_Abortion_Liberal_reactionhigh.png,2022-07-05 14:34
4,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_10.png,expert_username,Professor Chen,@ProfessorChen,"Abortion is a deeply personal decision that should be made by a woman in consultation with her doctor, without interference from politicians.",Abortion,Liberal,low,0,0,35,female_asian_expert_username_prof_Abortion_Liberal_reactionlow.png,2022-07-05 14:34
5,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_8.png,expert_username,Professor Chen,@ProfessorChen,Denying women access to abortion only puts their health and lives at risk.,Abortion,Liberal,medium,77,45,103,female_asian_expert_username_prof_Abortion_Liberal_reactionmedium.png,2022-07-05 14:34
6,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_0.png,expert_username,Professor Meng,@ProfessorMeng,Birthright citizenship was never intended to be a loophole for illegal immigration. It's time to restore the original intent of the 14th Amendment by ending birthright citizenship for children of illegal immigrants.,Ban_birthright_citizenship_for_children_of_illegal_immigrants,Conservative,high,711,162,2799,female_asian_expert_username_prof_Ban_birthright_citizenship_for_children_of_illegal_immigrants_Conservative_reactionhigh.png,2022-07-05 14:34
7,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_3.png,expert_username,Professor Kim,@ProfessorKim,Birthright citizenship should be reserved for those who enter our country legally. Ending birthright citizenship for children of illegal immigrants is a step towards upholding the rule of law.,Ban_birthright_citizenship_for_children_of_illegal_immigrants,Conservative,low,0,2,41,female_asian_expert_username_prof_Ban_birthright_citizenship_for_children_of_illegal_immigrants_Conservative_reactionlow.png,2022-07-05 14:34
8,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_2.png,expert_username,Professor Li,@ProfessorLi,Birthright citizenship was never intended to be a loophole for illegal immigration. It's time to restore the original intent of the 14th Amendment by ending birthright citizenship for children of illegal immigrants.,Ban_birthright_citizenship_for_children_of_illegal_immigrants,Conservative,medium,97,35,240,female_asian_expert_username_prof_Ban_birthright_citizenship_for_children_of_illegal_immigrants_Conservative_reactionmedium.png,2022-07-05 14:34
9,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_0.png,expert_username,Professor Li,@ProfessorLi,"Every child, regardless of their parents' immigration status, deserves a chance to thrive and contribute to our society. Ending birthright citizenship would deny them the opportunities they deserve.",Ban_birthright_citizenship_for_children_of_illegal_immigrants,Liberal,high,801,238,2733,female_asian_expert_username_prof_Ban_birthright_citizenship_for_children_of_illegal_immigrants_Liberal_reactionhigh.png,2022-07-05 14:34
10,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_11.png,expert_username,Professor Kim,@ProfessorKim,Denying birthright citizenship to children of undocumented immigrants would create a permanent underclass of individuals who lack the same rights as their peers. Let's stand up for justice and equality by ensuring that every child born on American soil is treated with dignity and respect.,Ban_birthright_citizenship_for_children_of_illegal_immigrants,Liberal,low,0,2,25,female_asian_expert_username_prof_Ban_birthright_citizenship_for_children_of_illegal_immigrants_Liberal_reactionlow.png,2022-07-05 14:34
11,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_2.png,expert_username,Professor Li,@ProfessorLi,"Every child, regardless of their parents' immigration status, deserves a chance to thrive and contribute to our society. Ending birthright citizenship would deny them the opportunities they deserve.",Ban_birthright_citizenship_for_children_of_illegal_immigrants,Liberal,medium,77,24,103,female_asian_expert_username_prof_Ban_birthright_citizenship_for_children_of_illegal_immigrants_Liberal_reactionmedium.png,2022-07-05 14:34
12,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_0.png,expert_username,Professor Kim,@ProfessorKim,Guns do not commit crimes. Humans do. Gun control does not prevent violence.,Gun_Control,Conservative,high,711,238,2733,female_asian_expert_username_prof_Gun_Control_Conservative_reactionhigh.png,2022-07-05 14:34
13,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_6.png,expert_username,Professor Li,@ProfessorLi,Gun control only serves to prevent law-abiding citizens from defending themselves and make them more vulnerable to criminals and tyrants.,Gun_Control,Conservative,low,0,2,41,female_asian_expert_username_prof_Gun_Control_Conservative_reactionlow.png,2022-07-05 14:34
14,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_2.png,expert_username,Professor Li,@ProfessorLi,"Criminals will always find ways to obtain guns, regardless of the laws in place.",Gun_Control,Conservative,medium,77,45,240,female_asian_expert_username_prof_Gun_Control_Conservative_reactionmedium.png,2022-07-05 14:34
15,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_8.png,expert_username,Professor Kim,@ProfessorKim,Gun ownership should not be unlimited. Reasonable regulations are necessary to keep communities safe.,Gun_Control,Liberal,high,711,238,2733,female_asian_expert_username_prof_Gun_Control_Liberal_reactionhigh.png,2022-07-05 14:34
16,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_5.png,expert_username,Professor Li,@ProfessorLi,Gun ownership should not be unlimited. Reasonable regulations are necessary to keep communities safe.,Gun_Control,Liberal,low,0,0,25,female_asian_expert_username_prof_Gun_Control_Liberal_reactionlow.png,2022-07-05 14:34
17,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_6.png,expert_username,Professor Meng,@ProfessorMeng,"Gun control is not about taking away guns from law-abiding citizens, it's about saving lives and making our communities safer.",Gun_Control,Liberal,medium,72,35,142,female_asian_expert_username_prof_Gun_Control_Liberal_reactionmedium.png,2022-07-05 14:34
18,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_11.png,expert_username,Professor Kim,@ProfessorKim,Labeling genetically modified foods would unfairly stigmatize a proven safe and beneficial technology.,Labeling_GMOs,Conservative,high,521,162,2799,female_asian_expert_username_prof_Labeling_GMOs_Conservative_reactionhigh.png,2022-07-05 14:34
19,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_2.png,expert_username,Professor Chen,@ProfessorChen,Labeling genetically modified foods would unfairly stigmatize a proven safe and beneficial technology.,Labeling_GMOs,Conservative,low,0,0,35,female_asian_expert_username_prof_Labeling_GMOs_Conservative_reactionlow.png,2022-07-05 14:34
20,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_11.png,expert_username,Professor Chen,@ProfessorChen,Labeling genetically modified foods is unnecessary and burdensome regulation.,Labeling_GMOs,Conservative,medium,77,35,142,female_asian_expert_username_prof_Labeling_GMOs_Conservative_reactionmedium.png,2022-07-05 14:34
21,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_2.png,expert_username,Professor Meng,@ProfessorMeng,Genetically modified foods may have potential health and environmental impacts. Labeling allows individuals to make informed choices.,Labeling_GMOs,Liberal,high,711,173,2733,female_asian_expert_username_prof_Labeling_GMOs_Liberal_reactionhigh.png,2022-07-05 14:34
22,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_3.png,expert_username,Professor Chen,@ProfessorChen,Labeling genetically modified foods strengthens our food system by increasing trust between consumers and producers.,Labeling_GMOs,Liberal,low,4,1,41,female_asian_expert_username_prof_Labeling_GMOs_Liberal_reactionlow.png,2022-07-05 14:34
23,female,asian,prof,input/dalle/prof/female_asian/Female-Asian-image_4.png,expert_username,Professor Li,@ProfessorLi,Mandatory labeling of genetically modified foods ensures equity and protects those with dietary restrictions or allergies.,Labeling_GMOs,Liberal,medium,72,45,142,female_asian_expert_username_prof_Labeling_GMOs_Liberal_reactionmedium.png,2022-07-05 14:34
